Account_ID,Customer_ID,Customer_Name,Gender,Age,Email,Phone,City,Country,Account_Type,Account_Status,Transaction_ID,Transaction_Date,Transaction_Type,Amount,Currency,Description,Branch_Name,Manager_Name,Loan_ID,Loan_Amount,Interest_Rate,Tenure_Years,Investment_Type,ROI,Investment_Value,Card_Type,Late_Fee,Penalty,Tax_Amount,Total_Amount,Payment_Mode,Remarks
A1013,C42745,,Mle,67,,+918900844022,Bangalore,India,Savings,Banned,T258959,2025-07-22,Withdrawal,541381.2491629971,GBP,,Downtown,Mrs. Patel,,700836.8783708585,10.600669807841836,14.0,Bond,4.014628076338792,643143.6348757106,,233.07882422837434,9268.880339522791,8982.534293704897,1076491.737314693,Credit,
A6528,C85635,John Doe,Other,16,,+917966465671,Mumbai,India,Loan,Active,T969568,2021-06-02,Deposit,950384.713506945,EUR,Investment,,Ms. Sharma,L4003,1519590.7467991533,8.450980235847705,24.0,Stock,29.95316933914657,849455.0928563222,Amex,573.7718170135986,6943.340904661149,8302.352861025298,273554.19499047793,UPI,
A2486,C45084,Ravi Kumar,F,44,ravi@gmail,+916959620201,Bangalore,UK,Loan,Banned,T118366,2025-06-22,Deposit,878127.3854660029,INR,Loan EMI,,Ms. Sharma,L3536,5456283.337253873,20.301754886279586,10.0,FD,8.468700247214972,967066.4750831389,MasterCard,3620.866477722211,5505.758533599379,1925.1073861827483,1176719.8475441805,Debet,
A4023,C50967,John Doe,Mle,52,,+917056520263,Chennai,,Savings,Inactive,T532996,2024-02-01,Deposit,323963.16302512115,EUR,Transfer,Downtown,Mr. Rao,,9236700.36830866,23.07970990066247,19.0,Bond,23.986358238789723,844920.4263654543,MasterCard,4709.845928579384,8531.286753562763,5902.814080564759,1486822.6837076556,Debit,Check required
A6374,C81747,Ravi Kumar,Other,16,ravi@gmail,+918702869671,Chennai,UK,Loan,,T445462,2022-04-18,Deposit,233129.88266606015,GBP,Salary,City Center,Mr. Rao,L6095,9266523.382259827,17.470664230576446,24.0,Stock,5.297867401695584,811767.3655063815,MasterCard,3161.275454427855,4938.353159013803,5902.814080564759,1204951.758337745,Credit,Good
A2945,C38573,,Female,78,fatima@gmail.com,+916966838283,,USA,Current,Active,T148982,2020-02-03,Withdrawal,388182.6446228202,GBP,Investment,Downtown,Ms. Sharma,,9586152.692862287,7.550456563002612,12.0,Stock,5.297867401695584,539522.8284753156,RuPay,4699.484910056313,4124.3660134721185,9630.574903388364,64218.11946276848,Debet,
A2552,C64242,michael Brown,Male,74,ravi@gmail,+918090995963,Bangalore,india,Loan,Inactive,T252308,2020-05-31,Deposit,714181.7310775347,INR,Transfer,City Center,,,5650068.871485042,13.50711241418061,5.0,Stock,2.43022286446441,190908.36947253632,RuPay,989.3648402281697,4938.353159013803,5092.144389058023,694148.4279144235,UPI,
A1741,C74030,,Other,35,,+918392113849,Bangalore,UK,Loan,Active,T170723,2023-08-13,Withdrawal,996013.1821039101,INR,Loan EMI,Main,Mr. Rao,L7940,749824.2801253947,5.834725663246742,4.0,Bond,2.4777929262852254,963928.6301848894,,621.7911068408189,9268.880339522791,8511.776343041716,1305744.7034188083,Debet,
A6466,C30956,Fatima Noor,Male,47,ravi@gmail,+919179334298,mumbai,USA,Business,Banned,T929553,2022-08-31,Deposit,604528.5333602336,GBP,Salary,Downtown,Mr. Rao,,6741403.31617917,17.743576705864207,1.0,Mutual Fund,20.515929732088466,234375.9167642702,,3455.95543326373,2533.2447186290096,1661.6859399350537,64218.11946276848,Cash,Delayed
A4180,C50209,Jane Smith,Mle,72,ravi@gmail,+917601605160,Chennai,india,Current,Inactive,T236472,2022-11-06,Transfer,680078.0517686324,INR,Salary,,,,6741403.31617917,4.0180832313354795,16.0,FD,15.766487448821028,245736.1222883877,Visa,3591.5281062462964,4124.3660134721185,6966.1719178533485,1377486.3986446962,UPI,Good
A8174,C97234,Li Wei,Mle,36,jane@,+917352471279,Mumbai,india,Loan,Inactive,T872376,2023-12-27,Deposit,887574.3155090096,INR,Loan EMI,City Center,Ms. Sharma,,2103689.034563995,9.753596288851723,23.0,Bond,26.24282425359994,374134.1220984742,MasterCard,1022.1189533220204,6411.281202861482,6108.8375909991655,659024.6856097007,Credit,Delayed
A5952,C12503,Fatima Noor,Other,63,jane@,+918292392642,Mumbai,India,Savings,Active,T136618,2021-11-19,Withdrawal,347835.32059467735,INR,Investment,City Center,Mrs. Patel,L6760,6878948.609642798,12.169313814495034,11.0,Mutual Fund,7.121497953481719,24179.427950912028,Amex,1564.0051186487553,7662.006327578452,2433.813502947666,1499436.2992422548,Online,
A4276,C12611,michael Brown,Mle,73,ravi@gmail,+916240260822,,UK,Savings,Banned,T284916,2025-08-18,Loan Payment,768444.2290101304,INR,,,,,3243924.976089444,7.518093442252103,11.0,Stock,6.885377975832525,59165.65419318991,Amex,1652.508874386831,4244.773749197129,5245.693655155961,1327784.5442568623,Online,
A1008,C11253,Jane Smith,Male,56,,+918126991071,Bangalore,india,Savings,Active,T573105,2023-01-30,Transfer,502597.35196135094,USD,Bill Payment,Suburban,Mr. Lee,,4343876.390243207,18.139806704587027,21.0,,23.09957120662433,944551.2655858326,MasterCard,1746.7956978468835,2797.2362916675797,1122.6566274614636,919795.0821481887,Credt,
A2099,C13782,Ravi Kumar,Male,74,,+918316152361,Bangalore,india,Business,Inactive,T433456,2024-10-21,Withdrawal,897429.3081731659,USD,Bill Payment,,,,9414841.692404369,14.446144879342414,13.0,,2.4777929262852254,190908.36947253632,,4248.3305440265485,2666.584375987766,9735.80611385447,600493.8118287886,UPI,Check required
A8853,C67216,Li Wei,F,29,,+916743601951,Bangalore,UK,Savings,Active,T532824,2022-11-04,Transfer,286938.1882952957,EUR,Transfer,,,L1344,8958477.016791882,6.284626381157905,6.0,Mutual Fund,23.482975285390136,528548.4700212231,MasterCard,3161.275454427855,8815.719859434583,3235.581310623503,934207.7507477293,Online,Good
A5223,C45906,Fatima Noor,,76,john@example.com,+918786476123,Bangalore,UK,Current,Active,T678603,2020-06-12,Transfer,542887.0901966413,EUR,Salary,City Center,Mr. Rao,,2510842.2917093844,9.239018859235506,21.0,Stock,8.468700247214972,864734.547251879,RuPay,985.5886110490819,9141.547886574375,8091.09609822026,694188.7814509443,Debit,
A1234,C10716,Li Wei,Other,76,jane@,+918175466133,,India,Savings,Inactive,T993701,2020-09-05,Transfer,,INR,Bill Payment,City Center,,,6523023.906391861,16.43800889407678,25.0,Mutual Fund,1.9518575612107396,60691.2405053503,Amex,4283.626679025848,9630.718703404258,3567.0077015753086,694148.4279144235,Credit,
A9948,C66729,Ravi Kumar,,61,john@example.com,+917669330634,Chennai,india,Loan,,T533493,2020-02-27,Withdrawal,463601.48447499593,USD,Investment,Downtown,Ms. Sharma,,2469411.7010379173,15.889450861146399,28.0,Mutual Fund,23.09957120662433,366099.87960594246,Visa,3455.95543326373,1352.5942408939452,9388.108936714852,659024.6856097007,Online,
A6049,C78022,John Doe,Male,76,,+917235358305,mumbai,,Business,Active,T333668,2021-12-30,Deposit,136336.94003546867,GBP,Salary,Suburban,Mr. Lee,,3167854.802010415,9.868152208990608,13.0,Bond,3.649975833210855,89871.47334778636,MasterCard,1746.7956978468835,5880.657671438793,6300.23373260519,350063.6476016587,Cash,Check required
A8504,C38726,michael Brown,Other,65,jane@,+919819170990,mumbai,,Business,Banned,T850325,2023-04-08,Withdrawal,513682.0205902581,USD,Bill Payment,Suburban,Ms. Sharma,L1111,7251065.421507847,7.824220450243207,6.0,FD,28.700962229424334,738048.1034636453,Visa,1088.5574693216188,3041.760770056594,8302.352861025298,416414.4511635146,UPI,Good
A9455,C75013,Ravi Kumar,Female,69,jane@,+916652366671,Delhi,UK,Savngs,Active,T293659,2023-02-21,Deposit,323963.16302512115,INR,,Suburban,Mrs. Patel,,8625551.227294983,20.59690022525787,8.0,FD,14.704538466637848,185831.9263504979,,12.068772004882323,1528.8913715116005,2433.813502947666,1316941.6632610313,Debit,
A5748,C42028,michael Brown,Female,78,fatima@gmail.com,+917053550990,Delhi,India,Business,Banned,T693380,2022-04-06,Transfer,448216.0572816651,USD,Salary,,Mrs. Patel,,7820583.509818148,9.239018859235506,13.0,Bond,28.697297452498958,745759.2799318061,RuPay,1408.109841445505,8902.68438292236,1918.3400395881322,76611.92646857898,Cash,
A2928,C42949,Ravi Kumar,Other,17,,+917518838164,,,Savngs,Active,T763879,2024-01-15,Loan Payment,885026.8230148039,GBP,,Main,Mr. Rao,L5297,2231690.440765202,17.621800378164295,20.0,FD,8.53467438677107,928122.9860481006,Visa,3472.0830613032554,9721.974489102855,558.8762521170754,1343750.690007388,Cash,Delayed
A9349,C63607,Jane Smith,Other,65,john@example.com,+918318504093,Bangalore,USA,Business,Active,T788425,2024-12-27,Loan Payment,448216.0572816651,INR,Salary,Downtown,Mrs. Patel,,7328002.964717242,7.824220450243207,16.0,Stock,24.90170536008687,384042.1292838816,MasterCard,4912.522617617238,4350.431520865205,9630.574903388364,1176719.8475441805,Debit,
A5584,C72964,Ravi Kumar,Female,21,john@example.com,+918256361559,Bangalore,UK,Business,Active,T356409,2024-06-01,Deposit,861246.1040376598,GBP,Investment,,Mr. Rao,,4193357.4342229436,22.515332357998574,16.0,Stock,23.09957120662433,895656.7337280904,,3069.3850999801493,2202.010978731279,1918.3400395881322,556225.1772080854,UPI,Good
A7359,C14760,John Doe,F,35,ravi@gmail,+916928285551,Chennai,USA,Business,Inactive,T341313,2020-09-15,Withdrawal,502597.35196135094,INR,,Suburban,,,2231690.440765202,19.561196145138805,24.0,,23.09957120662433,503078.72750497534,,1012.800339672213,9788.66236773735,5245.693655155961,927782.0849247195,Debit,Good
A9775,C56139,Fatima Noor,,87,john@example.com,+917484495476,mumbai,india,Current,Inactive,T929412,2025-07-08,Withdrawal,772054.5827937576,GBP,Loan EMI,Main,Mr. Rao,,2904282.00209408,24.371784391021592,20.0,Stock,18.911065511586234,897737.3757334132,,3357.1548037909897,1236.2752560390068,2366.126611163718,196201.961882513,Debet,Delayed
A3689,C85407,Fatima Noor,Other,53,ravi@gmail,+918538405699,Mumbai,USA,Loan,,T445107,2022-11-03,Loan Payment,95780.54704639535,GBP,Loan EMI,Downtown,Ms. Sharma,,4343876.390243207,12.966149901256099,29.0,FD,28.068108797414087,614035.5472237406,MasterCard,3085.635219794654,5780.779936470901,674.258284326732,893828.3367689988,Debet,Check required
A8658,C66002,Jane Smith,,32,john@example.com,+917979297044,Chennai,UK,Savings,Inactive,T425440,2020-04-08,Withdrawal,680078.0517686324,EUR,Bill Payment,Downtown,Ms. Sharma,,2904282.00209408,24.963795729110984,12.0,Bond,26.797525683224343,242871.12759180067,MasterCard,2818.0309306801464,4938.353159013803,4035.1698753472087,1327784.5442568623,UPI,Check required
A7432,C96184,Ravi Kumar,,18,fatima@gmail.com,+917332724710,Chennai,,Business,Active,T597643,2023-03-17,Deposit,513125.91064621304,INR,Bill Payment,City Center,Mr. Lee,L5149,2043991.1301892018,5.834725663246742,28.0,,26.368917406020852,738048.1034636453,MasterCard,124.6626733251477,7244.67518412842,8302.352861025298,1316941.6632610313,Debit,Good
A2330,C86482,Fatima Noor,Other,74,fatima@gmail.com,+916003262422,Mumbai,india,Savings,Active,T931917,2024-05-04,Transfer,233129.88266606015,USD,Bill Payment,Main,Mrs. Patel,,8225687.01853336,22.850496352289294,26.0,FD,18.911065511586234,233557.6377250481,,2439.5534063900536,8363.579799981058,6569.491838561349,64218.11946276848,UPI,
A1461,C77371,John Doe,Male,28,john@example.com,+918284384079,Delhi,india,Savings,,T279424,2024-09-07,Transfer,585893.537220925,USD,Investment,,,,9230778.385504935,4.358493491691109,28.0,Stock,18.911065511586234,306519.39224096056,RuPay,843.5348903724877,136.7500664025223,3287.3838725303385,1106347.8420567466,UPI,Check required
A2831,C13864,Ravi Kumar,F,23,jane@,+917130034447,Mumbai,,Loan,Active,T729896,2023-03-25,Withdrawal,541381.2491629971,USD,Loan EMI,Suburban,Mrs. Patel,,8838747.6981015,5.316699390452643,17.0,Bond,22.84281380519011,893761.704701827,Amex,3507.068871187304,8238.530883947295,2614.9306570429676,1252661.5810016254,Debit,Check required
A1827,C13120,John Doe,,67,jane@,+917336130642,Bangalore,india,Savings,Active,T438556,2023-11-03,Withdrawal,847370.3184039759,GBP,Salary,Suburban,Ms. Sharma,,8336386.295783684,7.145118528000413,18.0,Stock,27.478491322242945,653094.3973197985,,4283.626679025848,263.55337639901165,9630.574903388364,1124964.5527538352,Debet,Good
A8568,C82284,Ravi Kumar,Other,16,john@example.com,+916661039764,mumbai,india,Loan,,T613463,2022-01-22,Loan Payment,828229.9366108056,INR,,City Center,Mr. Rao,,2510842.2917093844,10.396971405826182,16.0,Stock,23.218371357162123,781184.6775994262,MasterCard,1130.2142889646204,9268.880339522791,1918.3400395881322,1070327.768918043,Online,Good
A4483,C27532,,Other,74,fatima@gmail.com,+916358693452,mumbai,India,Savings,,T545987,2024-02-29,Transfer,249942.47851140358,USD,Salary,Main,Mr. Rao,L9856,302328.4705816485,17.743576705864207,5.0,Mutual Fund,17.486754322301408,59165.65419318991,MasterCard,609.0371611921086,7319.184189935188,718.0379134921134,810698.5060711964,Debet,
A7955,C77197,,Male,85,,+917450074451,,india,Current,,T930624,2024-09-25,Deposit,909564.4728943588,INR,,Downtown,Mrs. Patel,,3265096.0406464124,5.834725663246742,11.0,Stock,18.349516045474527,503078.72750497534,MasterCard,2157.0836310403324,5783.29033827972,1122.6566274614636,,Debet,
A9667,C86328,,Male,58,ravi@gmail,+917638843147,Chennai,,Savngs,,T802884,2021-03-30,Transfer,659189.6290456743,GBP,Bill Payment,Main,Ms. Sharma,,3448277.112846515,20.94846176590926,5.0,Mutual Fund,23.2437198834082,643143.6348757106,MasterCard,573.7718170135986,5880.657671438793,306.2438723940053,,Cash,
A3864,C89516,Li Wei,Other,22,ravi@gmail,+916684178867,mumbai,India,Current,,T977066,2020-09-27,Transfer,221604.9991871768,INR,Bill Payment,City Center,Mr. Lee,,192988.90008509325,9.199331070328533,2.0,Mutual Fund,8.989011795741431,36028.769822295944,Amex,2204.04267989811,2584.5683303313326,6779.15300303286,703463.7623730332,Credit,Good
A7843,C16567,Li Wei,,61,jane@,+917958334427,mumbai,India,Loan,,T138217,2022-08-09,Loan Payment,172902.76945130664,GBP,Bill Payment,Downtown,Ms. Sharma,L6606,5096499.7008044915,,14.0,Stock,20.515929732088466,521534.9126635951,RuPay,12.601500376478448,7999.639526393771,3855.075418322077,273554.19499047793,Debit,
A6952,C36485,John Doe,Male,49,jane@,+917690833133,Delhi,india,Current,,T471685,2021-11-22,Loan Payment,557091.8814336149,GBP,Bill Payment,City Center,Mr. Lee,,6294306.30934547,21.157457461535355,2.0,Stock,18.733944349373875,198149.05005966927,Visa,433.3952107360156,7334.461201125781,6257.086251855517,723892.4352593245,UPI,Good
A5108,C19720,John Doe,Mle,50,,+919244492740,,india,Savngs,,T572577,2020-06-25,Loan Payment,861246.1040376598,INR,,City Center,Mrs. Patel,,2513936.1086086365,19.869054389571748,22.0,,27.062134796266772,516619.3006288568,,433.3952107360156,,5528.661170875194,1404556.5245212147,Debet,Good
A5909,C59212,,Female,64,jane@,+918753347931,Mumbai,USA,Current,,T958305,2024-07-05,Transfer,541381.2491629971,INR,Investment,,Mrs. Patel,L9873,2498277.553394202,4.9330923890922325,14.0,Bond,28.6504061122051,705589.9227217018,Visa,1425.0051004302766,6503.932919261056,3287.3838725303385,810698.5060711964,UPI,Delayed
A9567,C52947,Li Wei,Female,18,jane@,+919575748631,Delhi,UK,Savings,Inactive,T911656,2021-06-19,Transfer,9638.000130142389,EUR,Loan EMI,Suburban,Mrs. Patel,,746175.6111806429,10.942139585988645,,FD,28.700962229424334,653094.3973197985,Visa,60.174076621137274,6943.340904661149,2951.156577427656,496656.62665484863,Online,Delayed
A8635,C63532,Jane Smith,F,16,jane@,+916559622452,Mumbai,USA,Loan,Banned,T327658,2020-02-23,Withdrawal,656180.4772382574,EUR,Loan EMI,City Center,Mrs. Patel,,192988.90008509325,3.9784411650376765,20.0,Stock,8.6431594708136,233557.6377250481,,709.3681910017868,9630.718703404258,8325.860200290579,914931.5551734554,Online,Check required
A2632,C95042,Ravi Kumar,Male,20,fatima@gmail.com,+916508822876,Mumbai,India,Business,Active,T345955,2025-04-10,Withdrawal,413253.1593549174,GBP,Transfer,Downtown,Mrs. Patel,L8238,4343876.390243207,3.968187338508522,28.0,Bond,15.3593457561552,734421.7188688285,RuPay,2809.3553312520476,3131.3888509078024,6737.694211773179,735832.3882785506,Credt,Delayed
A9081,C54857,Jane Smith,F,68,john@example.com,+918265690388,Delhi,India,Savings,Banned,T520213,2023-02-07,Loan Payment,878127.3854660029,GBP,Bill Payment,Downtown,,,2001411.9372831,7.145118528000413,2.0,,17.486754322301408,367696.37843448797,,1022.1189533220204,7093.104487787327,1122.6566274614636,1499436.2992422548,Credt,
A9707,C25550,Jane Smith,Female,18,jane@,+916903393560,mumbai,india,Current,Inactive,T624382,2022-06-16,Withdrawal,911024.5984092221,EUR,Loan EMI,,Mrs. Patel,,4179229.9482484004,19.485205301014023,4.0,,3.2984104029134755,539522.8284753156,,60.174076621137274,7538.613635010517,6706.730389414137,978987.5542363548,Online,
A9213,C86299,Li Wei,Mle,68,john@example.com,+916481095111,Bangalore,USA,Current,,T732438,2024-07-26,Withdrawal,373712.9313433469,INR,,,,,666151.5482195967,9.220817574775747,26.0,FD,27.73788675980397,738048.1034636453,Amex,245.1474308729118,5783.29033827972,4996.349146079705,694148.4279144235,Debit,Check required
A5284,C39823,Ravi Kumar,Other,77,ravi@gmail,+919582699678,Mumbai,UK,Current,,T922288,2023-07-12,Transfer,687496.0575693231,EUR,Loan EMI,City Center,Mr. Rao,,6294306.30934547,8.866050366933068,13.0,Mutual Fund,25.491719710421105,252558.54010342545,MasterCard,3725.6978121916163,9090.838367924085,6706.730389414137,1070327.768918043,Debet,Delayed
A2588,C42736,Fatima Noor,Other,32,john@example.com,+918599776861,,UK,Savngs,,T105281,2024-11-27,Withdrawal,393231.1175208077,INR,Bill Payment,City Center,Mrs. Patel,L1836,2418693.3723753328,20.43174537953543,3.0,Bond,14.704538466637848,929562.0776705791,MasterCard,3069.3850999801493,2202.010978731279,5723.905421231307,137418.02362474313,Debit,
A9541,C71809,Jane Smith,Female,58,john@example.com,+919558230573,Chennai,USA,Business,Inactive,T270413,2020-04-11,Deposit,249942.47851140358,USD,Bill Payment,City Center,Ms. Sharma,,,20.301754886279586,21.0,FD,26.368917406020852,2294.584031866264,Amex,3357.1548037909897,3131.3888509078024,3287.3838725303385,285464.2073450211,Debet,
A3028,C62646,,Mle,48,john@example.com,+916541239629,mumbai,India,Loan,Banned,T948583,2023-08-05,Loan Payment,648244.356530811,INR,Transfer,,Mr. Lee,L5987,8927849.756915567,,27.0,FD,6.059269802238506,2294.584031866264,MasterCard,4169.125439649792,7662.006327578452,6779.15300303286,1235360.4681576358,Online,Delayed
A7949,C51799,Li Wei,Mle,88,,+919807327553,Bangalore,India,Loan,,T922813,2023-06-12,Transfer,914592.9767782255,USD,Investment,Downtown,Ms. Sharma,,7328002.964717242,20.699919622270503,8.0,Mutual Fund,29.825168922062947,232822.26736905606,Amex,4232.0204220981705,8312.225817387492,8174.847881157075,893828.3367689988,Online,Delayed
A9985,C20919,michael Brown,Mle,76,,+919574895412,Delhi,India,Savings,Inactive,T946082,2020-05-17,Deposit,541381.2491629971,GBP,Loan EMI,Downtown,Mr. Rao,,8958477.016791882,4.0180832313354795,17.0,FD,23.218371357162123,2294.584031866264,MasterCard,724.5087585392457,8531.286753562763,682.9773697889807,487147.8942875628,Credt,Good
A8815,C29119,Fatima Noor,Male,28,john@example.com,+918159008622,Delhi,India,Savngs,Active,T689092,2024-04-12,Loan Payment,387825.55209689675,EUR,Loan EMI,Suburban,Mr. Lee,,6294306.30934547,17.621800378164295,9.0,Mutual Fund,6.002374845466548,683006.6897170685,Visa,2022.2703465023883,7319.184189935188,8982.534293704897,45418.37781046687,UPI,Delayed
A7263,C93438,michael Brown,F,62,ravi@gmail,+918385197619,,UK,Current,Active,T757604,2024-08-15,Transfer,680078.0517686324,GBP,Bill Payment,Suburban,,,3967258.430866011,18.139806704587027,7.0,Bond,12.197552721879209,864734.547251879,Amex,3085.635219794654,3699.187480556668,4996.349146079705,216682.55201463,Online,
A9548,C43727,John Doe,Female,29,jane@,+918490322473,Mumbai,USA,Savings,Banned,T573432,2023-10-15,Withdrawal,61636.87983142338,INR,Salary,,Ms. Sharma,,,11.672579406716483,29.0,Bond,1.2176214423213545,895656.7337280904,,464.5168784710624,4856.121788426299,501.326667183456,218715.30855329262,Online,Delayed
A8331,C59509,Li Wei,Other,86,john@example.com,+916145710579,,india,Loan,Inactive,T412220,2023-12-21,Deposit,847370.3184039759,INR,Bill Payment,City Center,Mr. Rao,L7290,2043991.1301892018,24.371784391021592,12.0,Stock,4.014628076338792,385861.2941365581,Visa,2542.1620129741846,1523.4979109261526,1661.6859399350537,556225.1772080854,Online,Delayed
A6424,C18379,Fatima Noor,F,76,fatima@gmail.com,+916197904191,,India,Savngs,,T687668,2025-10-28,Withdrawal,9638.000130142389,GBP,Salary,City Center,Mrs. Patel,,9522216.63618825,4.0180832313354795,1.0,Stock,17.312107528448674,528548.4700212231,MasterCard,4716.209318694826,2466.6843908376377,2686.775221329316,109314.63081407237,Debet,Delayed
A7032,C31213,Fatima Noor,Other,54,,+917036752380,Delhi,india,Savngs,Active,T813461,2021-05-25,Loan Payment,18130.206624247487,USD,Bill Payment,Main,,L8740,864389.9305853191,5.834725663246742,19.0,FD,15.817270931571084,242915.84170632265,MasterCard,60.174076621137274,6295.6583962705345,93.78209893879053,528054.5651551575,Online,Good
A7612,C85147,Fatima Noor,Male,67,john@example.com,+918767244413,Bangalore,India,Savngs,Active,T570060,2022-05-16,Loan Payment,61636.87983142338,USD,Loan EMI,City Center,Mr. Rao,,5722674.505666851,9.199331070328533,24.0,Stock,4.341341658573831,528548.4700212231,MasterCard,3424.6211407446376,7786.504917281257,8708.791375954588,1499436.2992422548,UPI,Delayed
A5070,C98950,Li Wei,Female,38,,+918105213837,mumbai,,Current,,T609320,2022-08-07,Transfer,451601.8681151427,USD,Loan EMI,Downtown,Mr. Lee,,2513936.1086086365,13.50711241418061,19.0,Bond,15.817270931571084,869999.2740819198,,2818.0309306801464,7871.429521846581,1918.3400395881322,642196.3947537284,Debit,Delayed
A7883,C30026,Jane Smith,Other,40,fatima@gmail.com,+917469290791,Delhi,India,Current,Active,T484727,2024-04-07,Transfer,679583.8813890266,INR,Transfer,City Center,Mr. Lee,,5722674.505666851,16.74970630607944,6.0,Mutual Fund,7.7786294091385315,190908.36947253632,MasterCard,2621.31738848084,8377.034709768433,6706.730389414137,1070327.768918043,Debet,Good
A9126,C21476,Li Wei,Other,74,jane@,+919256817001,Bangalore,,Savngs,Inactive,T337249,2021-09-20,Loan Payment,520568.4815881504,EUR,,City Center,Mr. Lee,,302328.4705816485,14.387174147259643,10.0,Stock,28.700962229424334,366099.87960594246,Visa,2349.680669221361,9788.66236773735,2559.762490895352,348732.7479748416,UPI,
A3809,C68605,Fatima Noor,Female,55,jane@,+917759826186,Delhi,India,Savings,Banned,T192332,2020-09-28,Loan Payment,659189.6290456743,EUR,Bill Payment,Downtown,,,4193357.4342229436,23.014515809890234,4.0,Stock,17.312107528448674,635212.8864553814,,3455.95543326373,3976.5570010170736,7411.528879949374,216682.55201463,Online,Delayed
A3848,C56948,,F,43,,+918671292710,Bangalore,,Savings,Banned,T693649,2020-10-05,Loan Payment,648244.356530811,EUR,Loan EMI,City Center,Mrs. Patel,,2001411.9372831,8.866050366933068,28.0,Mutual Fund,18.349516045474527,516619.3006288568,Amex,2204.04267989811,5880.657671438793,3567.0077015753086,,UPI,
